jenis_MAKANAN,jenis_NONMAKANAN,jenis_TOTAL,daerah_PERDESAAN,daerah_PERDESAANPERKOTAAN,daerah_PERKOTAAN,upah,peng,ump,gk,Cluster
False,True,False,False,True,False,0.39627483443708605,0.1313180542957342,0.6125709431683376,0.092846865514472,4
False,True,False,False,True,False,0.39627483443708605,0.1313180542957342,0.6125709431683376,0.09381619397245117,4
False,True,False,False,False,True,0.352317880794702,0.233285475493111,0.6125709431683376,0.12030834107744681,2
False,True,False,False,False,True,0.352317880794702,0.233285475493111,0.6125709431683376,0.12445134068195107,2
False,True,False,False,False,True,0.34134933774834436,0.23001601740759767,0.6129458263616603,0.13260752994727532,2
False,True,False,False,False,True,0.34134933774834436,0.23001601740759767,0.6129458263616603,0.14120774201062258,2
False,True,False,True,False,False,0.352317880794702,0.08625691104528588,0.6125709431683376,0.08923766380923034,7
False,True,False,True,False,False,0.352317880794702,0.08625691104528588,0.6125709431683376,0.0942650694786493,7
False,True,False,True,False,False,0.34134933774834436,0.09790581866489823,0.6129458263616603,0.10081137280687921,7
False,True,False,True,False,False,0.34134933774834436,0.09790581866489823,0.6129458263616603,0.11185734979048434,7
False,True,False,False,True,False,0.352317880794702,0.13544307946260173,0.6125709431683376,0.09963580425145763,4
False,True,False,False,True,False,0.352317880794702,0.13544307946260173,0.6125709431683376,0.10443270628255866,4
False,True,False,False,True,False,0.34134933774834436,0.14285969678872898,0.6129458263616603,0.11162320662103503,4
False,True,False,False,True,False,0.34134933774834436,0.14285969678872898,0.6129458263616603,0.12189638982775314,4
False,False,True,False,False,True,0.3029801324503311,0.3204400934909223,0.18888446409542445,0.3768807277121179,3
False,False,True,False,False,True,0.3029801324503311,0.3204400934909223,0.18888446409542445,0.3951317631587248,3
False,False,True,False,False,True,0.3029801324503311,0.3404812203025642,0.24135237078859792,0.40595936827444973,3
False,False,True,False,False,True,0.3029801324503311,0.3404812203025642,0.24135237078859792,0.4226441921575383,3
False,False,True,True,False,False,0.3029801324503311,0.1416350865931787,0.18888446409542445,0.3285950681926816,6
False,False,True,True,False,False,0.3029801324503311,0.1416350865931787,0.18888446409542445,0.3510946496466015,6
False,False,True,True,False,False,0.3029801324503311,0.16496482597723,0.24135237078859792,0.36594636301654043,6
False,False,True,True,False,False,0.3029801324503311,0.16496482597723,0.24135237078859792,0.38903069580556165,6
